Craiova,-111.0,-197.0
Bals,-78.0,-190.0
Caracal,-56.0,-225.0
Corabia,-50.0,-248.0
Bailesti,-145.0,-216.0
Calafat,-167.0,-231.0
Rosiori De Vede,1.0,-187.0
Alexandria,24.0,-236.0
Turnu Magurele,-11.0,-248.0
Giurgiu,78.0,-234.0
Oltenita,145.0,-209.0
Bucuresti,95.0,-163.0
Calarasi,206.0,-191.0
Fetesti,251.0,-170.0
Harsova,261.0,-144.0
Slobozia,215.0,-148.0
Urziceni,164.0,-139.0
Mangalia,300.0,-234.0
Medgidia,280.0,-187.0
Constanta,291.0,-204.0
Babadag,326.0,-120.0
Tulcea,331.0,-86.0
Braila,243.0,-68.0
Macin,289.0,-68.0
Galati,253.0,-40.0
Mizil,137.0,-104.0
Buzau,168.0,-90.0
Ramnicu Sarat,177.0,-61.0
Ploiesti,89.0,-122.0
Targoviste,42.0,-113.0
Campina,68.0,-90.0
Slatina,-43.0,-172.0
Gaiesti,23.0,-146.0
Pitesti,-10.0,-126.0
Curtea De Arges,-12.0,-83.0
Campulung,-4.0,-59.0
Dragasani,-83.0,-137.0
Ramnicu Valcea,-73.0,-69.0
Strehaia,-157.0,-142.0
Turnu Severin,-210.0,-139.0
Targu Jiu,-150.0,-105.0
Orsova,-252.0,-134.0
Oravita,-295.0,-103.0
Resita,-279.0,-67.0
Caransebes,-234.0,-54.0
Lugoj,-283.0,-12.0
Timisoara,-337.0,-9.0
Jimbolia,-367.0,14.0
Faget,-243.0,-3.0
Brad,-177.0,40.0
Alba Iulia,-121.0,37.0
Deva,-191.0,2.0
Orastie,-145.0,-3.0
Hunedoara,-199.0,-15.0
Hateg,-171.0,-38.0
Petrosani,-164.0,-54.0
Sebes,-117.0,10.0
Medias,-54.0,35.0
Sighisoara,-10.0,45.0
Fagaras,-2.0,-8.0
Sibiu,-76.0,-15.0
Orasul Stalin,62.0,-18.0
Sfantul Gheorghe,70.0,18.0
Odorhei,24.0,53.0
Miercurea Ciuc,82.0,59.0
Adjud,180.0,27.0
Tecuci,199.0,4.0
Focsani,193.0,-26.0
Barlad,237.0,58.0
Vaslui,230.0,96.0
Husi,263.0,100.0
Targu Ocna,131.0,62.0
Moinesti,120.0,80.0
Bacau,165.0,84.0
Piatra Neamt,116.0,124.0
Roman,166.0,125.0
Targu Neamt,112.0,159.0
Gheorgheni,35.0,104.0
Toplita,16.0,137.0
Reghin,-23.0,124.0
Targu Mures,-46.0,86.0
Tarnaveni,-44.0,64.0
Blaj,-89.0,53.0
Aiud,-108.0,69.0
Turda,-119.0,93.0
Cluj,-114.0,122.0
Huedin,-165.0,137.0
Zalau,-153.0,167.0
Gherla,-93.0,138.0
Dej,-92.0,172.0
Beius,-218.0,118.0
Salonta,-266.0,128.0
Oradea,-244.0,158.0
Simleul Silvaniei,-192.0,168.0
Marghita,-232.0,184.0
Carei,-206.0,233.0
Satu Mare,-175.0,251.0
Sighet,-81.0,251.0
Baia Mare,-101.0,217.0
Cehul Silvaniei,-160.0,202.0
Nasaud,-40.0,184.0
Bistrita,-50.0,149.0
Campulung Moldovenesc,39.0,189.0
Suceava,105.0,217.0
Falticeni,108.0,194.0
Pascani,159.0,182.0
Iasi,222.0,153.0
Botosani,159.0,242.0
Dorohoi,125.0,270.0
Radauti,53.0,248.0
